,Property Type,Price,Address,Locality,Beds,Baths,Home Size,Lot Size,Garage,Link,Construction
0,House for Sale,"$405,000",NOT LISTED,"Sacramento, CA 95826",4 bed,2 bath,"1,736 sqft","6,242 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/8436-Citadel-Way_Sacramento_CA_95826_M29840-75286,
1,House for Sale,"$3,750,000",2002 Fox Hollow Ln,"Sacramento, CA 95864",4 bed,5.5 bath,"9,807 sqft",0.85 acres lot,3 car,https://www.realtor.com/realestateandhomes-detail/2002-Fox-Hollow-Ln_Sacramento_CA_95864_M91902-32304,
2,House for Sale,"$640,000",1423 54th St,"Sacramento, CA 95819",4 bed,2 bath,"1,613 sqft","6,094 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/1423-54th-St_Sacramento_CA_95819_M23773-04913,
3,House for Sale,"$299,900",4340 23rd St,"Sacramento, CA 95822",3 bed,1 bath,"1,096 sqft","4,356 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/4340-23rd-St_Sacramento_CA_95822_M13820-69280,
4,House for Sale,"$247,000",3121 Bakula Way,"Sacramento, CA 95864",3 bed,2 bath,"1,200 sqft","5,227 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3121-Bakula-Way_Sacramento_CA_95864_M18885-74672,
5,Mfd/Mobile Home,"$199,888",7436 Bouvais Cir,"Sacramento, CA 95828",2 bed,2 bath,"1,160 sqft",NOT LISTED,yes car,https://www.realtor.com/realestateandhomes-detail/7436-Bouvais-Cir_Sacramento_CA_95828_M20800-14251,
6,Condo/Townhome,"$185,000",2294 Woodside Ln Unit 14,"Sacramento, CA 95825",1 bed,1 bath,701 sqft,"4,670 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/2294-Woodside-Ln-Unit-14_Sacramento_CA_95825_M25351-76040,
7,House for Sale,"$430,000",23 Heathmere Ct,"Sacramento, CA 95833",3 bed,2 bath,"1,543 sqft","5,985 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/23-Heathmere-Ct_Sacramento_CA_95833_M13087-53873?ex=CA2558064354,
8,House for Sale,"$295,000",3431 Shady Ln,"Sacramento, CA 95821",3 bed,1 bath,"1,219 sqft",0.3 acres lot,1 car,https://www.realtor.com/realestateandhomes-detail/3431-Shady-Ln_Sacramento_CA_95821_M22095-94874,
9,House for Sale,"$329,000",3713 Ripley St,"Sacramento, CA 95838",3 bed,2 bath,"1,203 sqft","7,405 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3713-Ripley-St_Sacramento_CA_95838_M20081-72454,
10,House for Sale,"$245,000",3717 22nd Ave,"Sacramento, CA 95820",3 bed,1 bath,864 sqft,"5,227 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/3717-22nd-Ave_Sacramento_CA_95820_M16331-67201,
11,House for Sale,"$325,000",3578 Binghamton Dr,"Sacramento, CA 95834",4 bed,2.5 bath,"1,419 sqft","5,663 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3578-Binghamton-Dr_Sacramento_CA_95834_M17764-52824,
12,House for Sale,"$499,900",5767 Lolet Way,"Sacramento, CA 95835",4 bed,3 bath,"2,723 sqft","5,898 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/5767-Lolet-Way_Sacramento_CA_95835_M12229-84517,
13,Condo/Townhome,"$239,950",5881 Gloria Dr Apt 3,"Sacramento, CA 95822",0 bed,2 bath,"1,114 sqft","1,114 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/5881-Gloria-Dr-Apt-3_Sacramento_CA_95822_M26088-64107,
14,House for Sale,"$799,000",541 42nd St,"Sacramento, CA 95819",4 bed,2 bath,"2,470 sqft","4,539 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/541-42nd-St_Sacramento_CA_95819_M20172-78643,
15,House for Sale,"$369,950",320 Picasso Cir,"Sacramento, CA 95835",3 bed,2 bath,"1,718 sqft","3,868 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/320-Picasso-Cir_Sacramento_CA_95835_M29686-26397,
16,House for Sale,"$599,500",4625 Parker Ave,"Sacramento, CA 95820",11 bed,5 bath,"3,822 sqft",0.3 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/4625-Parker-Ave_Sacramento_CA_95820_M16580-60850,
17,House for Sale,"$523,000",712 Flint Way,"Sacramento, CA 95818",3 bed,1.5 bath,"1,262 sqft","8,712 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/712-Flint-Way_Sacramento_CA_95818_M24153-90707,
18,House for Sale,"$1,449,900",721 Estates Dr,"Sacramento, CA 95864",3 bed,2.5 bath,"2,773 sqft","4,282 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/721-Estates-Dr_Sacramento_CA_95864_M18916-64105,NEW CONSTRUCTION
19,House for Sale,"$289,000",8414 Center Pkwy,"Sacramento, CA 95823",4 bed,2 bath,"1,638 sqft","8,276 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/8414-Center-Pkwy_Sacramento_CA_95823_M20180-56153,
20,Condo/Townhome,"$315,000",5350 Dunlay Dr Unit 1513,"Sacramento, CA 95835",2 bed,2 bath,"1,519 sqft",NOT LISTED,2 car,https://www.realtor.com/realestateandhomes-detail/5350-Dunlay-Dr_Sacramento_CA_95835_M10651-91925,
21,House for Sale,"$359,888",7606 Tattershall Way,"Sacramento, CA 95823",4 bed,2 bath,"1,925 sqft","9,583 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7606-Tattershall-Way_Sacramento_CA_95823_M23820-69879,
22,House for Sale,"$229,000",645 Belasco Ave,"Sacramento, CA 95815",3 bed,1 bath,936 sqft,"6,098 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/645-Belasco-Ave_Sacramento_CA_95815_M28517-24328,
23,House for Sale,"$335,000",7241 LA Tour Dr,"Sacramento, CA 95842",3 bed,2 bath,"1,192 sqft","9,148 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7241-La-Tour-Dr_Sacramento_CA_95842_M26014-69003,
24,Condo/Townhome,"$155,000",4734 Greenholme Dr Apt 3,"Sacramento, CA 95842",2 bed,1 bath,840 sqft,523 sqft lot,1 car,https://www.realtor.com/realestateandhomes-detail/4734-Greenholme-Dr_Sacramento_CA_95842_M28272-86122,
25,House for Sale,"$575,000",2114 9th St,"Sacramento, CA 95818",4 bed,2 bath,"1,560 sqft","3,049 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2114-9th-St_Sacramento_CA_95818_M24389-42781,
26,Multi-Family Home,"$285,000",1501-1511 71st Ave,"Sacramento, CA 95832",2 bed,2 bath,"1,728 sqft","7,841 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/1501-71st-Ave_Sacramento_CA_95832_M12415-53932,
27,House for Sale,"$303,000",2911 Gardendale Rd,"Sacramento, CA 95822",4 bed,2 bath,"1,661 sqft","8,276 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/2911-Gardendale-Rd_Sacramento_CA_95822_M25367-43136,
28,House for Sale,"$550,000",4616 Laurelwood Way,"Sacramento, CA 95864",4 bed,3 bath,"1,813 sqft",0.23 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/4616-Laurelwood-Way_Sacramento_CA_95864_M15901-86271,
29,House for Sale,"$349,999",7754 Dersingham Dr,"Sacramento, CA 95829",3 bed,2 bath,"1,137 sqft","4,735 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7754-Dersingham-Dr_Sacramento_CA_95829_M25974-66903,
30,House for Sale,"$365,000",8884 Bridalsmith Dr,"Sacramento, CA 95828",4 bed,2 bath,"1,817 sqft","7,026 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/8884-Bridalsmith-Dr_Sacramento_CA_95828_M12776-56407,
31,House for Sale,"$564,990",The Cove Residence 3,"Sacramento, CA 95833",4 bed,3.5 bath,"2,818 sqft",NOT LISTED,2 car,https://www.realtor.com/realestateandhomes-detail/Residence-3_The-Cove_2663-Alcove-Way_Sacramento_CA_95833_P414934636941,NEW CONSTRUCTION
32,House for Sale,"$260,000",4921 Siskiyou Ave,"Sacramento, CA 95820",3 bed,2 bath,"1,295 sqft","6,098 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/4921-Siskiyou-Ave_Sacramento_CA_95820_M18801-65868,
33,House for Sale,"$350,000",3938 Ivy St,"Sacramento, CA 95838",4 bed,2 bath,"1,750 sqft","6,098 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3938-Ivy-St_Sacramento_CA_95838_M19343-11356,NEW CONSTRUCTION
34,Condo/Townhome,"$140,000",8220 Center Pkwy Apt 40,"Sacramento, CA 95823",2 bed,1 bath,906 sqft,NOT LISTED,1 car,https://www.realtor.com/realestateandhomes-detail/8220-Center-Pkwy-Apt-40_Sacramento_CA_95823_M27053-38170,
35,House for Sale,"$329,999",5612 Hemlock St,"Sacramento, CA 95841",3 bed,2 bath,"1,250 sqft","6,970 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/5612-Hemlock-St_Sacramento_CA_95841_M27313-03547,
36,House for Sale,"$274,900",8949 New Dawn Dr,"Sacramento, CA 95826",2 bed,1 bath,988 sqft,"7,200 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/8949-New-Dawn-Dr_Sacramento_CA_95826_M26295-98492,
37,House for Sale,"$471,490",The Redwood Collection at Parkside The Pepperwood - Plan 2161,"Sacramento, CA 95829",4 bed,3 bath,"2,161 sqft",NOT LISTED,3 car,https://www.realtor.com/realestateandhomes-detail/The-Pepperwood-Plan-2161_The-Redwood-Collection-at-Parkside_9366-Sugar-Bush-Cir_Sacramento_CA_95829_P412488083050,NEW CONSTRUCTION
38,Land,"$365,000",2491 Garden Hwy,"Sacramento, CA 95833",NOT LISTED,NOT LISTED,NOT LISTED,0.92 acres lot,NOT LISTED,https://www.realtor.com/realestateandhomes-detail/Garden-Hwy_Sacramento_CA_95833_M10749-51934,
39,House for Sale,"$299,000",7405 Carella Dr,"Sacramento, CA 95822",4 bed,2.5 bath,"1,512 sqft","7,405 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/7405-Carella-Dr_Sacramento_CA_95822_M23275-32135,
40,House for Sale,"$240,000",131 Butterworth Ave,"Sacramento, CA 95838",3 bed,1 bath,"1,026 sqft","5,227 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/131-Butterworth-Ave_Sacramento_CA_95838_M18358-54736,
41,House for Sale,"$440,490",Natomas Field Residence 2,"Sacramento, CA 95834",3 bed,2.5 bath,"2,325 sqft",NOT LISTED,2 car,https://www.realtor.com/realestateandhomes-detail/Residence-2_Natomas-Field_3881-Samuelson-Way_Sacramento_CA_95834_P411977304735,NEW CONSTRUCTION
42,House for Sale,"$299,500",2321 Nancy Way,"Sacramento, CA 95608",3 bed,1.5 bath,962 sqft,0.24 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/2321-Nancy-Way_Carmichael_CA_95608_M16381-47539,
43,House for Sale,"$370,797",Montauk at The Hamptons Plan 1W,"Sacramento, CA 95835",3 bed,2.5 bath,"1,720 sqft",NOT LISTED,2 car,https://www.realtor.com/realestateandhomes-detail/Plan-1W_Montauk-at-The-Hamptons_3124-Longboat-Key-Way_Sacramento_CA_95835_P414409408027,NEW CONSTRUCTION
44,House for Sale,"$620,000",33 Sage Grouse Ct,"Sacramento, CA 95834",4 bed,2 bath,"2,405 sqft","9,200 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/33-Sage-Grouse-Ct_Sacramento_CA_95834_M17350-04872,
45,House for Sale,"$439,700",1643 Salizar Way,"Sacramento, CA 95835",5 bed,3 bath,"2,493 sqft","8,612 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/1643-Salizar-Way_Sacramento_CA_95835_M24332-54604,
46,House for Sale,"$610,000",2715 Macon Dr,"Sacramento, CA 95835",4 bed,4 bath,"3,540 sqft","7,614 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/2715-Macon-Dr_Sacramento_CA_95835_M10945-30739,
47,House for Sale,"$639,900",640 Robertson Way,"Sacramento, CA 95818",3 bed,2 bath,"2,008 sqft","7,405 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/640-Robertson-Way_Sacramento_CA_95818_M26920-90329,
48,House for Sale,"$439,000",194 Mike Gartrell Cir,"Sacramento, CA 95835",4 bed,3 bath,"2,231 sqft","6,299 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/194-Mike-Gartrell-Cir_Sacramento_CA_95835_M14440-87909,
49,House for Sale,"$345,000",2412 Manor Ct,"Sacramento, CA 95864",3 bed,2 bath,"1,379 sqft","8,180 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2412-Manor-Ct_Sacramento_CA_95864_M15727-08544,
50,House for Sale,"$549,000",576 4th Ave,"Sacramento, CA 95818",2 bed,2 bath,"1,551 sqft","6,534 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/576-4th-Ave_Sacramento_CA_95818_M27735-90945,
51,House for Sale,"$465,450",36 Fallwind Cir,"Sacramento, CA 95831",3 bed,2 bath,"1,706 sqft","9,148 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/36-Fallwind-Cir_Sacramento_CA_95831_M11744-86608,
52,House for Sale,"$245,000",216 Peach Leaf Way,"Sacramento, CA 95838",3 bed,2 bath,"1,664 sqft","5,227 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/216-Peach-Leaf-Way_Sacramento_CA_95838_M16233-75704,
53,House for Sale,"$369,900",3413 Pecky Cedar Ct,"Sacramento, CA 95827",4 bed,2 bath,"1,573 sqft",0.28 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/3413-Pecky-Cedar-Ct_Sacramento_CA_95827_M94703-01364,
54,House for Sale,"$295,500",182 Redwood Ave,"Sacramento, CA 95815",3 bed,2 bath,"1,280 sqft","6,970 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/182-Redwood-Ave_Sacramento_CA_95815_M13236-22984,
55,House for Sale,"$389,900",NOT LISTED,"Sacramento, CA 95835",3 bed,2 bath,"1,709 sqft","7,257 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/Sacramento_CA_95835_M12576-81035,
56,House for Sale,"$479,000",6806 S Land Park Dr,"Sacramento, CA 95831",3 bed,2 bath,"1,480 sqft",0.26 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/6806-S-Land-Park-Dr_Sacramento_CA_95831_M25033-26958,
57,House for Sale,"$275,000",7653 McTavish Cir,"Sacramento, CA 95828",3 bed,2 bath,"1,275 sqft","6,848 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7653-McTavish-Cir_Sacramento_CA_95828_M10184-05468,
58,House for Sale,"$475,000",673 Swanston Dr,"Sacramento, CA 95818",2 bed,1 bath,"1,038 sqft","6,098 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/673-Swanston-Dr_Sacramento_CA_95818_M26862-76842?ex=CA2554389176,
59,House for Sale,"$379,000",2957 Terilyn St,"Sacramento, CA 95826",3 bed,2 bath,"1,419 sqft","6,120 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2957-Terilyn-St_Sacramento_CA_95826_M28858-42262,
60,House for Sale,"$464,900",17 Edgemar Ct,"Sacramento, CA 95835",3 bed,2 bath,"2,134 sqft","6,991 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/17-Edgemar-Ct_Sacramento_CA_95835_M17757-42845,
61,House for Sale,"$159,000",4631 15th Ave,"Sacramento, CA 95820",2 bed,1 bath,936 sqft,"4,792 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/4631-15th-Ave_Sacramento_CA_95820_M15318-03837,
62,Condo/Townhome,"$249,900",5891 Muldrow Rd,"Sacramento, CA 95841",4 bed,2 bath,"1,449 sqft","1,211 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/5891-Muldrow-Rd_Sacramento_CA_95841_M22243-81658,
63,House for Sale,"$260,000",3813 Pasadena Ave Apt 43,"Sacramento, CA 95821",2 bed,2.5 bath,"1,224 sqft","2,592 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3813-Pasadena-Ave-Apt-43_Sacramento_CA_95821_M29892-47028,
64,House for Sale,"$359,000",4920 Ruger Ct,"Sacramento, CA 95842",4 bed,2 bath,"1,688 sqft",0.25 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/4920-Ruger-Ct_Sacramento_CA_95842_M28672-86971,
65,House for Sale,"$470,000",6735 Riverside Blvd,"Sacramento, CA 95831",4 bed,3 bath,"1,937 sqft","9,148 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/6735-Riverside-Blvd_Sacramento_CA_95831_M28891-78526,
66,House for Sale,"$465,900",3430 River Shoal Ave,"Sacramento, CA 95833",4 bed,2.5 bath,"2,289 sqft","5,288 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/3430-River-Shoal-Ave_Sacramento_CA_95833_M20498-83407,
67,House for Sale,"$299,900",15 Graff Rig Ct,"Sacramento, CA 95838",3 bed,2 bath,"1,140 sqft","6,098 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/15-Graff-Rig-Ct_Sacramento_CA_95838_M16422-32271,
68,House for Sale,"$369,000",3937 Woodpointe Cir,"Sacramento, CA 95821",3 bed,2 bath,"1,470 sqft","7,405 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/3937-Woodpointe-Cir_Sacramento_CA_95821_M22888-59533,
69,House for Sale,"$495,000",354 Hartnell Pl,"Sacramento, CA 95825",2 bed,2 bath,"1,512 sqft",NOT LISTED,2 car,https://www.realtor.com/realestateandhomes-detail/354-Hartnell-Pl_Sacramento_CA_95825_M24468-22068,
70,House for Sale,"$275,000",3800 San Carlos Way,"Sacramento, CA 95820",2 bed,1 bath,860 sqft,"6,098 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/3800-San-Carlos-Way_Sacramento_CA_95820_M10234-59115,
71,House for Sale,"$489,000",312 Outrigger Way,"Sacramento, CA 95831",3 bed,2 bath,"1,952 sqft","7,405 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/312-Outrigger-Way_Sacramento_CA_95831_M27887-46811,
72,Multi-Family Home,"$399,900",186-188 Globe Ave,"Sacramento, CA 95815",4 bed,2 bath,"1,864 sqft","6,970 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/186-188-Globe-Ave_Sacramento_CA_95815_M23335-07707,
73,House for Sale,"$469,900",6623 Trudy Way,"Sacramento, CA 95831",3 bed,2 bath,"1,642 sqft","8,276 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/6623-Trudy-Way_Sacramento_CA_95831_M26395-33977,
74,House for Sale,"$425,000",3541 Ridgewood Way,"Sacramento, CA 95821",4 bed,2.5 bath,"1,545 sqft",0.23 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/3541-Ridgewood-Way_Sacramento_CA_95821_M22115-32703,
75,Condo/Townhome,"$340,000",4701 F Pkwy,"Sacramento, CA 95823",4 bed,2 bath,"1,473 sqft","8,276 sqft lot",yes car,https://www.realtor.com/realestateandhomes-detail/4701-F-Pkwy_Sacramento_CA_95823_M27691-33553,
76,Condo/Townhome,"$229,900",1900 Danbrook Dr Unit 728,"Sacramento, CA 95835",1 bed,1 bath,984 sqft,NOT LISTED,1 car,https://www.realtor.com/realestateandhomes-detail/1900-Danbrook-Dr-Unit-728_Sacramento_CA_95835_M25102-87157,
77,Multi-Family Home,"$415,000",5324-5326 Tyler St,"Sacramento, CA 95842",4 bed,3 bath,"2,000 sqft","6,443 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/5324-Tyler-St_Sacramento_CA_95842_M21593-52588,
78,House for Sale,"$395,000",8450 Montpelier Way,"Sacramento, CA 95823",3 bed,2.5 bath,"1,773 sqft","7,179 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/8450-Montpelier-Way_Sacramento_CA_95823_M22960-97350,
79,House for Sale,"$429,900",9126 Posada Way,"Sacramento, CA 95826",4 bed,2.5 bath,"1,834 sqft","6,534 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/9126-Posada-Way_Sacramento_CA_95826_M12988-94845,
80,House for Sale,"$275,000",5311 Ontario St,"Sacramento, CA 95820",3 bed,1 bath,"1,086 sqft","4,792 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/5311-Ontario-St_Sacramento_CA_95820_M20753-27609,
81,Condo/Townhome,"$550,000",1818 L St Unit 405,"Sacramento, CA 95811",1 bed,1 bath,"1,058 sqft",NOT LISTED,1 car,https://www.realtor.com/realestateandhomes-detail/1818-L-St-Unit-405_Sacramento_CA_95811_M21825-87640,
82,Multi-Family Home,"$699,000",2737 Eastern Ave,"Sacramento, CA 95821",0 bed,NOT LISTED,NOT LISTED,1.18 acres lot,yes car,https://www.realtor.com/realestateandhomes-detail/2737-Eastern-Ave_Sacramento_CA_95821_M24530-33341?ex=CA2553709127,
83,House for Sale,"$284,900",5116 63rd St,"Sacramento, CA 95820",3 bed,1 bath,"1,039 sqft","5,663 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/5116-63rd-St_Sacramento_CA_95820_M20158-13898,
84,House for Sale,"$425,000",4049 3rd Ave,"Sacramento, CA 95817",3 bed,2 bath,"1,237 sqft","5,227 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/4049-3rd-Ave_Sacramento_CA_95817_M29847-77041,
85,House for Sale,"$454,490",Natomas Field Residence 3,"Sacramento, CA 95834",4 bed,3.5 bath,"2,486 sqft",NOT LISTED,2 car,https://www.realtor.com/realestateandhomes-detail/Residence-3_Natomas-Field_3881-Samuelson-Way_Sacramento_CA_95834_P412287269426,NEW CONSTRUCTION
86,House for Sale,"$534,990",The Cove Residence 1,"Sacramento, CA 95833",3 bed,3 bath,"2,474 sqft",NOT LISTED,2 car,https://www.realtor.com/realestateandhomes-detail/Residence-1_The-Cove_2663-Alcove-Way_Sacramento_CA_95833_P414730430893,NEW CONSTRUCTION
87,House for Sale,"$444,990",The Redwood Collection at Parkside The Miranda - Plan 1950,"Sacramento, CA 95829",3 bed,2 bath,"1,950 sqft",NOT LISTED,2 car,https://www.realtor.com/realestateandhomes-detail/The-Miranda-Plan-1950_The-Redwood-Collection-at-Parkside_9366-Sugar-Bush-Cir_Sacramento_CA_95829_P413630007238,NEW CONSTRUCTION
88,House for Sale,"$539,999",4700 8th Ave,"Sacramento, CA 95820",3 bed,2 bath,"1,310 sqft","5,663 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/4700-8th-Ave_Sacramento_CA_95820_M11156-55057,
89,House for Sale,"$250,000",6341 Shenandoah Dr,"Sacramento, CA 95841",3 bed,2 bath,"1,840 sqft",0.26 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/6341-Shenandoah-Dr_Sacramento_CA_95841_M27221-73391,
90,House for Sale,"$529,000",3068 Sparrow Dr,"Sacramento, CA 95834",4 bed,3 bath,"3,078 sqft","9,718 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/3068-Sparrow-Dr_Sacramento_CA_95834_M28983-98835,
91,House for Sale,"$205,000",4115 Deerbrook Dr,"Sacramento, CA 95823",4 bed,2 bath,"1,482 sqft","5,702 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/4115-Deerbrook-Dr_Sacramento_CA_95823_M26510-18185,
92,House for Sale,"$450,000",2539 27th St,"Sacramento, CA 95818",3 bed,1 bath,"1,422 sqft","6,534 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2539-27th-St_Sacramento_CA_95818_M95195-89465,
93,House for Sale,"$585,000",7340 Pritchard Rd,"Sacramento, CA 95828",2 bed,2.5 bath,"1,288 sqft",1.34 acres lot,6 car,https://www.realtor.com/realestateandhomes-detail/7340-Pritchard-Rd_Sacramento_CA_95828_M28491-80798,
94,House for Sale,"$428,000",2425 42nd St,"Sacramento, CA 95817",2 bed,1 bath,"1,055 sqft","4,792 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2425-42nd-St_Sacramento_CA_95817_M29981-92781,
95,House for Sale,"$299,000",9108 Birdsong Ct,"Sacramento, CA 95826",3 bed,2 bath,"1,579 sqft",0.24 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/9108-Birdsong-Ct_Sacramento_CA_95826_M23334-11931,
96,House for Sale,"$499,900",6771 Arabella Way,"Sacramento, CA 95831",3 bed,2.5 bath,"1,922 sqft",0.25 acres lot,2 car,https://www.realtor.com/realestateandhomes-detail/6771-Arabella-Way_Sacramento_CA_95831_M28406-58269,
97,House for Sale,"$320,000",5302 Troutdale Way,"Sacramento, CA 95823",4 bed,2 bath,"1,590 sqft","7,401 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/5302-Troutdale-Way_Sacramento_CA_95823_M23995-90681,
98,House for Sale,"$289,900",2924 LA Solidad Way,"Sacramento, CA 95817",2 bed,1 bath,682 sqft,"3,049 sqft lot",yes car,https://www.realtor.com/realestateandhomes-detail/2924-LA-Solidad-Way_Sacramento_CA_95817_M19771-32184,
99,House for Sale,"$515,000",1952 University Park Dr,"Sacramento, CA 95825",3 bed,3 bath,"1,955 sqft","3,049 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/1952-University-Park-Dr_Sacramento_CA_95825_M26003-16908,
100,House for Sale,"$470,000",2485 Autumn Meadow Ave,"Sacramento, CA 95835",3 bed,3 bath,"2,475 sqft","8,019 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2485-Autumn-Meadow-Ave_Sacramento_CA_95835_M13319-44355,
101,House for Sale,"$359,000",1330 Nogales St,"Sacramento, CA 95838",4 bed,3 bath,"2,025 sqft","6,882 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/1330-Nogales-St_Sacramento_CA_95838_M25169-23430?ex=CA2550243629,
102,House for Sale,"$365,000",1840 Neptune Way,"Sacramento, CA 95864",3 bed,1 bath,"1,140 sqft","7,453 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/1840-Neptune-Way_Sacramento_CA_95864_M16162-72430,
103,House for Sale,"$270,000",1401 Morse Ave,"Sacramento, CA 95864",3 bed,1 bath,"1,081 sqft","6,534 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/1401-Morse-Ave_Sacramento_CA_95864_M18260-42421,
104,House for Sale,"$300,000",6556 Hitchcock Way,"Sacramento, CA 95823",3 bed,2 bath,"1,440 sqft","7,841 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/6556-Hitchcock-Way_Sacramento_CA_95823_M19880-57069,
105,House for Sale,"$225,000",4220 44th St,"Sacramento, CA 95820",3 bed,1 bath,815 sqft,"2,614 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/4220-44th-St_Sacramento_CA_95820_M27359-63073,
106,House for Sale,"$409,000",8300 Delicato Way,"Sacramento, CA 95829",4 bed,2 bath,"1,714 sqft","7,680 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/8300-Delicato-Way_Sacramento_CA_95829_M16446-78525,
107,House for Sale,"$359,900",8644 Elaine Dr,"Sacramento, CA 95828",4 bed,2 bath,"1,587 sqft","6,970 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/8644-Elaine-Dr_Sacramento_CA_95828_M12086-73998,
108,House for Sale,"$425,000",124 Waterglen Cir,"Sacramento, CA 95826",4 bed,2 bath,"1,521 sqft","7,379 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/124-Waterglen-Cir_Sacramento_CA_95826_M28592-71645,
