,Property Type,Price,Address,Locality,Beds,Baths,Home Size,Lot Size,Garage,Link,Construction
630,House for Sale,"$389,900",7795 Dersingham Dr,"Sacramento, CA 95829",4 bed,2 bath,"1,577 sqft","5,319 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7795-Dersingham-Dr_Sacramento_CA_95829_M25778-65017,
631,House for Sale,"$579,950",1230 F St,"Sacramento, CA 95814",3 bed,2.5 bath,"1,788 sqft","3,045 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/1230-F-St_Sacramento_CA_95814_M13683-45264,
632,House for Sale,"$329,000",2284 Cambridge St,"Sacramento, CA 95815",3 bed,2 bath,"1,483 sqft","4,356 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/2284-Cambridge-St_Sacramento_CA_95815_M13462-06145,
633,House for Sale,"$250,000",3241 42nd St,"Sacramento, CA 95817",2 bed,1 bath,750 sqft,"5,663 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/3241-42nd-St_Sacramento_CA_95817_M29958-45026,
634,House for Sale,"$399,900",8058 Rosebery Ct,"Sacramento, CA 95829",4 bed,3 bath,"2,005 sqft","7,244 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/8058-Rosebery-Ct_Sacramento_CA_95829_M12799-92789,
635,House for Sale,"$284,000",4901 Concord Rd,"Sacramento, CA 95820",3 bed,1.5 bath,"1,062 sqft","4,792 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/4901-Concord-Rd_Sacramento_CA_95820_M19216-80128,
636,Condo/Townhome,"$319,000",1155 Oak Hall Way,"Sacramento, CA 95822",2 bed,2 bath,"1,155 sqft","3,920 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/1155-Oak-Hall-Way_Sacramento_CA_95822_M26656-57403,
637,House for Sale,"$339,000",8316 Honeycomb Way,"Sacramento, CA 95828",3 bed,2.5 bath,"1,852 sqft","5,201 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/8316-Honeycomb-Way_Sacramento_CA_95828_M13108-97627,
638,House for Sale,"$350,000",10184 Countryside Way,"Sacramento, CA 95827",5 bed,3 bath,"1,972 sqft","6,700 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/10184-Countryside-Way_Sacramento_CA_95827_M28293-47093,
639,House for Sale,"$275,000",7446 Winkley Way,"Sacramento, CA 95822",3 bed,2 bath,"1,014 sqft","6,098 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/7446-Winkley-Way_Sacramento_CA_95822_M24229-70214,
640,House for Sale,"$879,000",5616 M St,"Sacramento, CA 95819",4 bed,2.5 bath,"2,010 sqft","7,087 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/5616-M-St_Sacramento_CA_95819_M23061-64229,
641,House for Sale,"$349,900",4187 Hovnanian Dr,"Sacramento, CA 95834",2 bed,2 bath,"1,402 sqft","3,894 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/4187-Hovnanian-Dr_Sacramento_CA_95834_M24693-36994,
642,House for Sale,"$295,000",228 Olmstead Dr,"Sacramento, CA 95838",3 bed,2 bath,"1,270 sqft","8,276 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/228-Olmstead-Dr_Sacramento_CA_95838_M28589-16655,
643,House for Sale,"$329,900",7 Zet Ct,"Sacramento, CA 95824",3 bed,2 bath,"1,394 sqft","8,198 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7-Zet-Ct_Sacramento_CA_95824_M18421-05968,
644,House for Sale,"$188,000",3705 Dayton St,"Sacramento, CA 95838",2 bed,1 bath,757 sqft,"9,583 sqft lot",1 car,https://www.realtor.com/realestateandhomes-detail/3705-Dayton-St_Sacramento_CA_95838_M20111-53730,
645,Condo/Townhome,"$330,000",4000 Innovator Dr Unit 34102,"Sacramento, CA 95834",3 bed,2.5 bath,"1,650 sqft",NOT LISTED,2 car,https://www.realtor.com/realestateandhomes-detail/4000-Innovator-Dr-Unit-34102_Sacramento_CA_95834_M11484-81306,
646,House for Sale,"$329,995",669 Coriander Way,"Sacramento, CA 95831",2 bed,2 bath,"1,211 sqft","4,356 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/669-Coriander-Way_Sacramento_CA_95831_M12745-82929,
647,House for Sale,"$425,000",8659 Duryea Dr,"Sacramento, CA 95828",4 bed,3 bath,"1,900 sqft","6,050 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/8659-Duryea-Dr_Sacramento_CA_95828_M11571-75615,
648,Condo/Townhome,"$179,995",3715 Tallyho Dr Apt 26,"Sacramento, CA 95826",2 bed,1 bath,825 sqft,NOT LISTED,1 car,https://www.realtor.com/realestateandhomes-detail/3715-Tallyho-Dr-Apt-26_Sacramento_CA_95826_M19018-25329?ex=CA2514569259,
649,Condo/Townhome,"$215,000",3618 Larchmont Square Ln,"Sacramento, CA 95821",3 bed,2.5 bath,"1,374 sqft",858 sqft lot,1 car,https://www.realtor.com/realestateandhomes-detail/3618-Larchmont-Square-Ln_Sacramento_CA_95821_M22666-11766,
650,House for Sale,"$324,900",4905 J Pkwy,"Sacramento, CA 95823",3 bed,2 bath,"1,400 sqft","7,405 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/4905-J-Pkwy_Sacramento_CA_95823_M27292-58995,
651,House for Sale,"$235,000",7226 Winterwillow Ct,"Sacramento, CA 95828",2 bed,2 bath,927 sqft,"3,119 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/7226-Winterwillow-Ct_Sacramento_CA_95828_M11427-24652,
652,House for Sale,"$280,000",5401 Tiburon Way,"Sacramento, CA 95841",3 bed,2 bath,"1,233 sqft","6,534 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/5401-Tiburon-Way_Sacramento_CA_95841_M26983-97719,
653,House for Sale,"$290,000",2417 Edna St,"Sacramento, CA 95822",3 bed,2 bath,"1,288 sqft","5,719 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2417-Edna-St_Sacramento_CA_95822_M22236-08794,
654,House for Sale,"$288,888",2221 Arliss Way,"Sacramento, CA 95822",3 bed,2 bath,"1,232 sqft","6,534 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2221-Arliss-Way_Sacramento_CA_95822_M15030-60423,
655,Condo/Townhome,"$350,000",7724 George River Ln,"Sacramento, CA 95831",3 bed,2.5 bath,"1,471 sqft",958 sqft lot,2 car,https://www.realtor.com/realestateandhomes-detail/7724-George-River-Ln_Sacramento_CA_95831_M18299-96188,
656,House for Sale,"$398,555",Retreat At Westshore Cayman,"Sacramento, CA 95834",3 bed,2.5 bath,"1,868 sqft",NOT LISTED,2 car,https://www.realtor.com/realestateandhomes-detail/Cayman_Retreat-At-Westshore_3678-Iskenderun-Ave_Sacramento_CA_95834_P413874554050,NEW CONSTRUCTION
657,Multi-Family Home,"$2,770,000",608 10th St,"Sacramento, CA 95814",8 bed,4 bath,"2,964 sqft","6,534 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/608-10th-St_Sacramento_CA_95814_M91921-21325,
658,Condo/Townhome,"$158,900",2358 Alta Garden Ln Unit A,"Sacramento, CA 95825",1 bed,1 bath,670 sqft,"1,328 sqft lot",NOT LISTED,https://www.realtor.com/realestateandhomes-detail/2358-Alta-Garden-Ln-A_Sacramento_CA_95825_M93006-63550,
659,House for Sale,"$414,251",2821 Mabry Dr,"Sacramento, CA 95835",4 bed,3 bath,"2,091 sqft","3,255 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/2821-Mabry-Dr_Sacramento_CA_95835_M24497-97350,NEW CONSTRUCTION
660,House for Sale,"$674,900",9051 McCoy Ave,"Sacramento, CA 95829",3 bed,2 bath,"2,420 sqft",2.39 acres lot,4 car,https://www.realtor.com/realestateandhomes-detail/9051-McCoy-Ave_Sacramento_CA_95829_M11600-04677,
661,House for Sale,"$745,000",6224 N Point Way,"Sacramento, CA 95831",3 bed,2.5 bath,"2,745 sqft","8,346 sqft lot",3 car,https://www.realtor.com/realestateandhomes-detail/6224-N-Point-Way_Sacramento_CA_95831_M23992-07535,
662,House for Sale,"$525,000",4833 V St,"Sacramento, CA 95817",3 bed,2 bath,"1,332 sqft","4,356 sqft lot",2 car,https://www.realtor.com/realestateandhomes-detail/4833-V-St_Sacramento_CA_95817_M26272-84855,
663,House for Sale,"$969,000",1736 Berkeley Way,"Sacramento, CA 95819",3 bed,2 bath,"2,261 sqft","4,500 sqft lot",yes car,https://www.realtor.com/realestateandhomes-detail/1736-Berkeley-Way_Sacramento_CA_95819_M24068-94072,
